depth,before_structural,before_behavioral,before_delta,after_structural,after_behavioral,after_delta
1,0.551625,0.64125,0.169625,0.64125,0.64125,0.0
2,0.445395187,0.54826875,0.262873563,0.54826875,0.54826875,0.0
3,0.388509123,0.468769781,0.320260658,0.468769781,0.468769781,0.0
